200,2147,23,51,1.5,Business Finance
75,2792,923,274,39,Business Finance
45,2174,74,51,2.5,Business Finance
95,2451,11,36,3,Business Finance
200,1276,45,26,2,Business Finance
150,9221,138,25,3,Business Finance
65,1540,178,26,1,Business Finance
95,2917,148,23,2.5,Business Finance
195,5172,34,38,2.5,Business Finance
200,827,14,15,1,Business Finance
200,4284,93,76,5,Business Finance
200,1380,42,17,1,Business Finance
30,3607,21,19,1.5,Business Finance
195,4061,52,16,2,Business Finance
200,294,19,42,7,Business Finance
75,2276,106,19,1.5,Business Finance
20,4919,79,16,1.5,Business Finance
200,2666,115,52,4,Business Finance
50,5354,24,23,1.5,Business Finance
95,8095,249,12,0.583333333,Business Finance
200,809,3,25,2,Business Finance
200,2295,84,39,4,Business Finance
75,10149,83,16,2,Business Finance
50,1916,38,23,1,Business Finance
45,2507,333,40,2,Business Finance
150,5786,518,50,5,Business Finance
200,5334,373,42,4.5,Business Finance
175,4005,237,25,2,Business Finance
150,2877,103,81,4.5,Business Finance
140,1026,25,37,3,Business Finance
95,1165,21,41,2.5,Business Finance
200,1843,171,35,1.5,Business Finance
45,8797,449,80,6.5,Business Finance
200,1030,11,22,2,Business Finance
200,1041,12,28,1.5,Business Finance
195,7884,118,68,10,Business Finance
195,16900,2476,52,5.5,Business Finance
200,11441,1118,61,4.5,Business Finance
195,22257,2697,138,7.5,Business Finance
195,8575,809,110,5.5,Business Finance
195,24481,2347,174,10,Business Finance
195,3811,278,103,6.5,Business Finance
195,4991,137,79,11.5,Business Finance
115,7489,1190,25,1,Business Finance
200,20195,1113,227,16,Business Finance
150,10042,594,43,3,Business Finance
95,367,42,35,5,Business Finance
200,10603,872,42,5.5,Business Finance
190,1197,11,46,5,Business Finance
150,2893,65,62,2,Business Finance
200,1580,12,53,2,Business Finance
95,10605,71,77,3,Business Finance
125,2996,200,23,2,Business Finance
30,6219,23,20,1,Business Finance
200,1113,11,17,1.5,Business Finance
60,8314,83,47,4,Business Finance
200,5572,123,33,5.5,Business Finance
145,1433,169,15,1,Business Finance
20,936,6,11,1.5,Business Finance
200,658,2,19,1,Business Finance
105,8121,689,40,3.5,Business Finance
60,4187,600,79,9,Business Finance
155,9445,497,38,4.5,Business Finance
200,3255,340,102,8.5,Business Finance
185,7941,713,40,6.5,Business Finance
150,1680,158,76,5.5,Business Finance
180,10100,985,45,11,Business Finance
125,5050,461,26,1.5,Business Finance
200,2310,162,26,3.5,Business Finance
185,5528,506,32,3,Business Finance
125,6451,237,28,5,Business Finance
95,12394,218,30,2.5,Business Finance
200,1793,18,15,1,Business Finance
20,3223,240,23,1,Business Finance
60,16385,273,45,3,Business Finance
200,1487,16,18,2,Business Finance
200,2951,232,60,4,Business Finance
120,2697,331,15,1,Business Finance
150,3979,40,39,5,Business Finance
25,3190,244,45,4,Business Finance
200,1406,71,54,1.5,Business Finance
160,4252,225,24,2,Business Finance
20,11958,370,134,11.5,Business Finance
95,7743,340,33,1.5,Business Finance
50,2134,55,5,1,Business Finance
200,1214,69,20,1.5,Business Finance
20,3870,53,10,1,Business Finance
200,2146,212,49,4.5,Business Finance
195,484,57,19,1,Business Finance
200,1057,15,14,1.5,Business Finance
20,1754,100,49,2.5,Business Finance
20,1239,5,6,0.7,Business Finance
95,2493,276,108,9.5,Business Finance
150,2602,402,57,5,Business Finance
40,2000,30,9,1,Business Finance
0,1514,66,11,0.55,Business Finance
20,1361,1,14,3,Business Finance
100,61,18,30,1.5,Business Finance
75,1513,31,60,5.5,Business Finance
20,1374,19,9,2,Business Finance
40,2103,15,6,1.5,Business Finance
20,1480,25,25,1.5,Business Finance
25,2516,12,20,1.5,Business Finance
0,50855,2698,15,1.5,Business Finance
50,1971,13,20,1.5,Business Finance
200,837,9,19,1,Business Finance
0,17160,620,23,1,Business Finance
195,1723,38,24,1,Business Finance
0,6811,151,51,2,Business Finance
20,2060,17,30,4.5,Business Finance
150,2318,19,16,5,Business Finance
95,2153,14,13,1.5,Business Finance
0,19339,794,9,2,Business Finance
20,3177,8,8,1,Business Finance
150,1535,16,462,62,Business Finance
20,1027,29,25,1.5,Business Finance
25,307,8,5,0.133333333,Business Finance
150,2096,48,29,0.683333333,Business Finance
50,1315,48,59,2.5,Business Finance
0,29167,1463,8,1.5,Business Finance
50,1056,1,42,3,Business Finance
180,2212,194,24,4.5,Business Finance
50,2946,6,284,31.5,Business Finance
100,271,48,47,3.5,Business Finance
25,3771,10,35,2.5,Business Finance
200,3143,11,39,3,Business Finance
20,1951,30,20,0.55,Business Finance
90,4022,35,14,1,Business Finance
0,11724,649,17,1.5,Business Finance
20,2283,54,16,2,Business Finance
35,1181,1,18,1,Business Finance
